id,title,content
176,プロジェクト,・　本プロジェクトはGRプログラムに所属する教員・学生全員の共同プロジェクトです。大別して、①全体ミーティング、②サブ・プロジェクト、③訪問研究（ピルグリム)、の三本の柱から構成されます。 ・　「全体ミーティング」は原則として履修生全員の参加の下に実施されます。履修生の各種研究発表（研究計画書、中間研究報告、最終研究報告、訪問研究発表）を中心に構成されます。加えてGRグループ全体の連絡事項の伝達等の場も兼ねています。 ・　「サブ・プロジェクト」は、「全体ミーティング」とは別に、研究の問題意識を共有する数名の学生によって構成、実施されます。各履修生は１つ以上のサブプロジェクトに参加し、その活動状況を期末に報告する必要があります。 ・ 「訪問研究（ピルグリム）」は、各履修生はが自分の主査の研究会とは異なる教員を訪問して指導を受けるものです。多様な視点から指導を受けるために「他流試合」の場と言えます。 ・　なお、GRサーティフィケートの取得を希望する学生は、必ず本プロジェクトに2期以上履修して最終発表をここで行わなければなりません。
177,プロジェクト,現実の社会的な課題を対象に、建築や都市がつくりだす環境をデザインするための実践的な手法を開発する事が本プロジェクトの目的である。そのために、情報技術を中心にした様々な技術のデザイン分野への応用の可能性を追求し、同時にそれを支援する社会的な仕組みづくりに取り組む。環境デザインが創造する社会的な価値の研究を推進し、豊かな未来の環境をデザインすることのできる社会的な人材の育成につなげる
178,表象文化論,テキストの一語、一語、一字、一字まで微分化して、分析する試みをします。
179,地方自治論,皆さんは「地方自治」という言葉にどういうイメージをお持ちでしょうか？　国が決めた方針を地方で実施するだけのつまらない行政の「雑用係」？　利益集団と癒着し、行政を業界の利益に沿ってゆがめる役人達の巣窟？　「休まず」「遅れず」「働かず」の公務員が巣くう非能率の源泉？？　本当にそうでしょうか？　　皆さんは生まれる以前から、地方政府（自治体）によってたくさんのサービスを受けてきました。妊婦検診に始まり、乳幼児検診、保育所、小中学校や高校、家の前の道路の維持管理、家庭や産業の廃棄物処理…　みんな地方政府の仕事です。自分のまちの市町村や都道府県は、日本の行政の７割を処理する地域の人々に一番身近な「市民のための政府」です。この科目は、地方自治とはどのような役割を担い、どのように動いているのか、そして皆さんは地域に対して何ができるのか、そのしくみと課題を考えてゆきます。　高校の公民の授業ではわずか１コマ５０分で済まされる地方自治の世界をちょっと深く眺め、一緒に考えてみましょう。
180,認知科学,認知科学は実験心理学とは異なる思想を持つ．自然科学的客観性を重視し過ぎるが故に認知をブラックボックスと扱った行動主義への批判と，コンピュータの出現に伴う認知への理解欲求から生まれた学問である．人間の知能は身体と言葉の相互作用により成り立つ．身体が進化すれば言葉も変わり，言葉が変われば身体も変わる．両者のインタラクションを科学的探究の俎上にのせることが認知科学の究極の目的である．そのためには過度な客観主義に縛られることなく，意識という主観的・内部観測的データにも眼を向ける必要がある．更に，現象を分析的に理解するだけではなく，認知と環境のインタラクションを構成的に創造し理解する方法論が必要である．本講義では最近の理論・実践を紹介し，新しい知能学問のあり方を議論する．
181,身体知論,身体知，および感性に関する“新しい科学の模索”を議論する授業である．従来は、身体運動の客観的計測（動きの計測、生化学データの計測等）に基づいて、身体を客観的に描写・記述・可視化することを目的とする“科学”が主流であった．しかし、その方法論では扱うことができない重要側面がひとつある．身体と、本人の意識・思考・言葉の関係である．本講義では、身体と言葉の関係を研究の俎上に載せる方法論として、認知科学的な方法論―メタ認知―を紹介し、身体知を科学する学問のあり方を模索的に議論する．これは、広い意味でいえば、人工知能が長年試みては未だ達成できていない“暗黙知”にメスを入れる研究的試みでもある．学生各自が身体の探究に関する例題を持ち、実践的に身体と言葉の関係を探究・分析・議論する形式で授業を行いたい．
182,ネットワークと情報経済,本授業は、公共政策に関する理論と実践を勉強します。社会、経済に問題が生じた場合、どう対応すべきでしょうか。市場の調整機能を期待して市場に任せるべきでしょうか、それとも、市場に任せていては非効率な資源配分となるので政府が市場に介入して政策を講ずるべきでしょうか。また、仮に、政府が政策を講ずべきとなった場合、どのような施策を講ずるべきでしょうか。本授業では、これらの公共政策の企画立案に係る論点について、理論と実践の両面から学びたいと思います。
183,脊椎動物のボディプラン,我々は、体の内外共に非常に精巧にできた形態をもち、様々な行動をし、時には自分自身が何かという問いを真剣に考えたりします。しかし、そのような複雑な生物個体であっても、その生命のスタート地点では、卵と呼ばれるひとつの球体に過ぎません。それが、時間の経過と共にオートマチックに先に述べた段階に至っていくわけです。粘土を用いて「考える人」の像を作るとすれば、多くの人はまず頭の部位、胴の部位、足の部位などに割り当てる粘土の比率を決定することでしょう。実は生物が体を作っていくために用いる設計様式（ボディプラン）も正に同じようなことを行っています。単純なルールを繰り返すことによって、複雑なものを形成していくのです。本科目では、生物が実際に用いているボディプランを学んでいただきます。
184,ヘルスプロモーション,健康マネジメント研究科設置の「ヘルスプロモーション 」の シラバスを参照してください。https://gslbs.adst.keio.ac.jp/index.html（keio.jpの認証が必要です）
185,日本語インテンシブ１,日本語レベルが中級前半（ちゅうきゅうぜんはん　lower intermediate）の人、日本語ベーシック4と日本語ベーシック４（演習）がおわった人のためのコースです。文法（ぶんぽう）や語彙（ごい vocabulary）、漢字の勉強（べんきょう）をしながら、読む・書く・聞く・話すの４つを練習（れんしゅう）します。 発表（はっぴょう）や作文（さくぶん）、文法の復習（ふくしゅう）などをしながら、日本語がうまく使えるようになるための勉強をします。自分（じぶん）で学習（がくしゅう）の計画（けいかく）をつくる自律型（じりつがた）クラスもあります。先生と相談（そうだん）しながら学習をすすめます。
186,環境デザイン特別演習２,本演習は、実際の建築プロジェクトおよび設計プロポーザルなどの実施となる可能性の高い建築設計および工事監理の学外演習を行うことによって、実務と同等の設計に関する技量を習得するとともに職業倫理を学ぶことを目的とする。一級建築士資格を保有する教員が、実際の建築プロジェクト、或は建築設計プロポーザル、実施コンペなどの実現可能性の高いプロジェクトを選定し、それに対して実務経験と同等の演習を学外の設計事務所、現場などで行う。選定されたプロジェクトのフェーズ（企画、基本構想、基本設計、実施設計、法規チェック、内外装仕上げ選定、工事監理など）に即した実務訓練を行い、具体の建築設計のノウハウを習得する。現場がある場合は、現場での工事監理補佐を行わせるなどして、現場に即した演習を行うことによって、実際の工事監理の経験をする。また、１学期間ではプロジェクト自身は全てのプロセスを追ってみることができないため、各フェーズの前後については、別のプロジェクトを紹介しながら、設計の流れを把握する。また建築現場を訪れる機会を設け、設計段階のプロジェクトでも工事監理の原理を学ぶ。
187,先端研究（ケースメソッド）,本講義の目的は、社会科学における事例研究の方法を身につけることである。本講義は、社会学、経営学等、人や組織、社会を研究対象として論文を執筆する者、事例研究やアクションリサーチを実施する者を対象とする。教科書や研究実践例を元に方法を学ぶと共に、ディスカッションやワーク、発表を通じて各受講者の研究の質を高める。事前課題として、教科書及び参考資料の精読と小レポートの提出を求める。①事例研究の手法を習得すること、②研究を批判的に検証する力を身につけること、③自らの研究・論文の質を高めることを目指す。
188,イスラーム法概論,｢イスラーム法 (シャリーア・イスラーミーヤ)｣ について､ 日本法あるいは西欧法との比較を念頭に置きながら､ その一般的な性質､ 法源､ 個々の法領域､ 現代的課題などを紹介する｡ イスラーム法は､ 16億人を擁するとされるイスラーム教徒の法であり､ 国民国家あるいは主権国家を基本的な構成単位とすることなしに成立する法秩序であって､ 民族や人種あるいは習慣や伝統の違いを乗り越える枠組みを有してさえいる｡ したがって､ イスラーム法についての正しい認識は､ 16億人からなるイスラーム教徒の共同体およびその法のありように対する理解を正すばかりでなく､ 全地球規模での公益の公平かつ公正な分配が求められる国際社会の法の構築にとっても不可欠である。専門用語の紹介・解説も積極的に行ないながら､ 現代を代表するムスリム法学者の見解に依拠しつつイスラーム法の世界を概観したい｡
189,国際金融論,最近の日本経済の現状とオリンピックを見据えた見通し、およびアベノミクスやその下で実施されている異次元緩和とその成果についてできるだけ客観的な事実を紹介する。また、日本は長期デフレに陥っていたためその脱却のために異次元緩和が必要と言われることが多いが、日本のデフレとはどのような特徴をもっていたのかそれらの特徴も解説する。さらに、世界経済を展望し、世界を牽引する米国経済と現状と今後、英国のＥＵ離脱をめぐる課題とＥＵの経済統合の諸問題、共通通貨ユーロにもとづく通貨同盟の長所短所、円・ドル・人民元・ユーロなどの主要通貨の最近の動向、についても説明する。、
190,プロジェクト,本プロジェクトの主な関心事は、ソーシャルイノベーション（＝新しい発想による社会変革）という観点と、コミュニティ・ソリューション（＝コミュニティによる問題解決）という方法論である。経済システムの背後に文化的文脈が存在していたり、自発的に形成された消費者コミュニティが企業活動にとっての決定的な成功要因になっていたり、従来「弱さ」と考えられていた要素が実は問題解決の鍵になっていたりするといった、社会・経済・文化・技術を縦断したアプローチをとる。ゲーム理論、ソーシャルキャピタル論、結・講・座といった伝統的な組織論、コミュニティ評価手法、ソーシャル・マーケティング、スポーツビジネス、政策によるイノベーションなどを対象にした、実証研究、理論構築、政策提案、システムデザインやツール開発、フィールドワークなどを行う。
191,プロジェクト,場所やモバイルメディアに関心のある研究者が協力して、ある場所に固有な情報メディアと人がどこでも持ち歩けるモバイルメディアの両方のシステムについて、技術的側面と社会的側面の研究を行う。技術的にはソフトウェア研究だけではなく、ハードウェアの開発も行う。社会的には場所やモバイルメディアが社会に及ぼす影響などの研究を行う。さらに、両者にまたがるヒューマンインタラクションやコンテンツのデザインも行う。そして、二つの研究者が協力して実施する社会実験を通して、それぞれの課題を克服する。
192,ライティング技法ワークショップ,自然主義文学の小説を読み、小説を書いてもらいます。
193,細胞生化学,"＜本科目は山形大学農学部との単位互換科目です。＞【授業の目的】食品・応用生命科学に関する基礎専門的な生物の細胞内で起こっている生化学的事象, その分子機構, ならびに解析法を知り, 更に未知の領域に触れる.タンパク質の合成・分解といった分子レベルでの事象を細胞分裂等の細胞レベルでの事象, 更にはゲノム科学や突然変異体を利用した解析法等を紹介し、これらの専門的な知識を身につけている。【授業の到達目標】食品・応用生命科学に関する基礎専門的な知識として生命が化学物質によって構成され, 営まれているという「知識・理解」と概念を身につける。【授業概要（キーワード）】細胞, 遺伝子, タンパク質, シグナル伝達"
194,デザイン言語,本講義の目的は、これまでデザイン言語系の科目をいくつか履修した者が、そのトレーニングの中で培った能力を総合し、社会の中での新しいデザインの価値や意義の理解を深め、さらにデザインの能力を向上させることである。よって、デザイン系の研究会に所属する・しようとしている学生、進路をデジタル・アナログを問わずデザイン関連にしようとしている学生は本科目を履修することが望ましい。SFCにおけるデザインの基礎的な科目群は「デザイン言語」という考え方を下にして構成されている。これは人工言語（プログラミング）や自然言語（外国語） と同じように、問題発見と問題解決のツールとしてデザインを捉える視点に基づいている。さらに「デザイン言語」という名称には、あくまでもリテラシー、つまりトレーニングによって使いこなすことのできる一つの能力であるという意味も含まれている。通常デザインは「センス」を前提にするが、それがあるロジックに基づいている以上、そのロジックを学ぶことが同時にセンスを磨くことになる。だからデザイン言語はプロセスに焦点を当てている。　そのため本講義は、実際の作品作りを通して考察から創作へのプロセスを鍛える課題で構成される。その中で、社会の中での新しいデザインの価値や意義を理解し、今後の学習・制作・研究の計画を発展させ、跳躍する契機を自ら作り出すことが期待される。
195,ユビキタスコンピューティングシステム論,"先端IT技術とネットワーク技術の進化により、さまざまなユビキタスコンピューティング環境が構築されてきている。身のまわりの屋内空間から、屋外まで「いつでも、どこでも、何でも、誰でも」シームレスにネットワークに接続でき、我々の行動支援できる生活空間が実現可能となってきている。この授業では、ユビキタスコンピューティングシステムの過去・現在・未来について議論し、その本質を理解することを目的とする。ユビキタスコンピューティング技術の構成要素であるユビキタスネットワーク、無線ネットワーク、ユビキタス端末、RFID、センサーノード、位置情報システム、コンテクストアウェア技術、ユビキタスサービスなどの詳細を理解するとともに、ユビキタスシステムや技術が社会に受け入れられ、普及していくための社会制度やプライバシー問題などについても議論する。In this lecture, we will discuss the past, present, and future of ubiquitous computing systems.We will review and discuss components of the ubiquitous computing systems such as ubiquitousnetworks, wireless communicaitons, smart devices, RFIDs, sensor nodes and networks, and indoor/outdoor location systems, context-aware technology, and ubiquitous services.We also discuss the ethics, legal and social issues (ELSI) related to pervasive and ubiquitous services as well as big data."
196,出版の未来,本講義では、グーテンベルグの時代からインターネットの時代にいたる流れの中で、「出版」をめぐる技術的・社会的課題を整理し、体系的に理解することを目指す。技術的な可能性のみならず、文化や制度とともに形づくられていく「出版」がどう変容していくかについて、長期にわたる経験と最新の現場の知見とを動員しながら考察する。とくに、（従来からの）書籍、電子出版、ウェブブラウザなどもふくめ、媒体の多様性・流動性を理解しながら「パブリッシング＝公にすること（世に問うこと）」の未来について考えてみたい。
197,スチューデントビルドキャンパス（ＳＢＣ）実践（建築Ａ）,本授業は、SBC (Student Build Campus)の一環としてSFCの北側に位置する未来創造塾EAST街区に建設が予定される研究棟の計画を学生が中心となって行うものである。具体的には、構法の開発、施工図面の作成、セルフビルドによる実際の施工などを行う。建築の計画から施工までを一貫して体験することができる点において貴重な体験を得ることができる。
198,デザイン思考と競争戦略,新しい事業・ビジネスを興すために不可欠なのは新しい事業機会を見つけ、戦略を策定し、そしてその実施に向けたビジネスモデルを構築することです。しかし、これは「言うは易し行うは難し」であり、起業に際しての大きな難関の一つとなっています。　この講義では、新しい視野と視点に基づき「時代に即した新しい事業機会を見出すにはどうしたら良いか」をその中心議題とします。　まず、新規事業案策定の前提となる将来のシナリオを「既に起こった未来」の視点から討議します。　そして、“人”の視点からの発想と創造力を重要視する「デザイン思考」の基礎概念と手法を紹介し、それの実際例への応用を学習します。さらに、デザイン思考は企業が直面する問題を解決できるのか、という課題を企業・競争戦略策定とビジネスモデル構築の観点から考察します。　最後に、デザイン思考を実際に導入する際に直面する組織上の制約を討議します。
199,近代史,日本はいったいどのような過程をたどって今のすがたになったのだろうか。150年前に欧米列強から独立を守り、わずか50年後には世界の列強となった。戦後、焦土のなかからたちあがり、わずか30年で経済大国となった。この「成功」過程は、日本が持つ文化的な魅力とあいまって、世界のひとびとを惹きつけてやまない。　しかし、日本に生まれた者、日本で育った者、日本で学ぶ者にとって「日本とはなにか」という問いに答えることは容易ではない。現代は私たちにとって所与の環境であり、近代以前は暗記の対象だったからだろう。現在の視点に立ち、これまでとこれからの日本を考える時間を持たなければその問いに答えることはできない。同時に、その負の側面について正面から論じることもできない。　本講義は、これまで分けて語られがちであった近代と現代を架橋することで日本のこれまでを現在とこれからに結びつけたうえで、各国から日本がどう見えているか見られているかという俯瞰的な視点を持ちながら、「日本とはなにか」という問いに対するそれぞれの答えを育んでいくことを目的とする。
200,社会起業とイノベーション,社会イノベーションの有力な担い手である社会起業にも様々な形態があるが、本講義ではその中核を担うNPO（民間非営利組織）やNGO（民間非政府組織）を取り上げる。これらの諸活動は、環境や国際援助、福祉や教育などをはじめとする様々な分野において、常に先駆的な新しい事業を生み出し、大きな役割を果たしてきた。日本においても同様に、阪神・淡路大震災以降の台頭が著しい。しかし、日本の公益活動は、長らく民間の非営利活動団体が存在してきながら、必ずしも十分にその歴史や実態は知られていない。本講義では、こうした日本の市民活動を中心にその歴史と実態を比較・整理し、そのイノベーティブな特性を多角的な視点から理解する。
201,都市空間の構成,「都市空間の構成」の講義では、まず、都市空間を構成する建築物等の整備が、法令によりどのようにコントロールされているかについての理解を進めます。　講義の中心となる建築基準法には、建築確認・検査制度などの「総則規定」、主に個々の建築物の安全性等を確保するための「単体規定」、まちの秩序、市街地の環境を確保するための「集団規定」などが規定されています。また「単体規定」に関連して、バリアフリー法、省エネ法など、「集団規定」については都市計画法などの関係法令があります。これらの制度はいずれも、国民の生命、健康、財産の保護、国民経済の健全な発展、国民生活の安定向上、公共の福祉の増進などを目的に、建築・都市における種々の社会的課題を解決するために規定されているものであり、法令条文を参照しながら、法令とそれが解決しようとする課題との関係を理解します。その際、現行制度の限界や新たな社会的課題への対応など、解決されていない問題についても提起し、受講生とともに議論することで法令の理解を深めます。　後半では、都市の実地見学を行い、法令が「建築物」や「都市」を実際にどのように形づくっているかを確認し、続いて、演習として、未解決の課題を受講生が各自設定し、その解決に向けた制度提案を発表・討議します。　本コースでは、講義を通じて一級建築士の法規に関する模擬試験を実施・解説し、建築関係に就業する者の資格取得等を支援します。
202,社会イノベーションとデザイン,コンピュータは、我々の創造性を高め、社会への実装を後押しする重要な鍵となる一方で、どのようにコンピュータを使う事が適切かを考える機会は不足しています。- どのように、現実世界とコンピュータとをつなぐことが適切なのでしょうか？- 私たち一人ひとりがやりたいことを、コンピュータに適切に伝えるためには、どのようにすれば良いのでしょうか？社会の中で自分たちのやりたいことを具現化する際に、既存のアプリケーションに振り回されてはいませんか？　自分たちがやりたいことを適切にデザインするために、どのようにコンピュータを使うべきなのでしょうか？複数の事例研究に基づき、自分たちが考えてきたイノベーションを具現化する際のコンピュータの在り方について検討していきます。授業に際しては、MESHを使用します。MESHについては、以下のURLを参照ください。http://meshprj.com/jp/プログラミングの基礎知識は必要ありません。
203,デザインとプログラミング,プログラミング言語/開発環境であるProcessingを使用して、デザインとプログラミングについて考察する。また、実際にコーディングしながら実習・作品制作を行う。主にプログラミングの初心者を対象に、視覚的な表現を通して、プログラミングの基礎(制御構造、くりかえし)から始まり、最終的には、3D表現や画像処理、データ解析などを用いた高度な表現を取得することを目標とする。
204,ユーザビリティ評価論,製品、情報、サービスのユーザビリティ（使い易さ）の基本的な考え方や具体的な評価手法を中心に、事例や演習をまじえながら、以下の内容について学ぶ。１．ユーザビリティとは何か２．ユーザビリティ評価の方法と実践３．ヒューマンセンタードデザインの手法４．ヒューマンセンタードデザインの実践５．ユーザビリティと楽しさのデザイン
205,フィールドワークＡ,研究テーマに関連した国内外での実地調査や研究活動（フィールドワーク）を行い、具体的な成果を挙げることが当科目の目的です。活動前に「研究計画書」等の書類を提出し、研究計画書の内容について書類選考が行われ、選考に通過した者のみ活動の翌学期において履修申告が認められます。申請方法、活動期間などの詳細は塾生の皆様へwebサイトをよく確認してください。（http://www.gakuji.keio.ac.jp/sfc/gsmg/fieldwork_mag.html）活動は春季・夏季休業期間中に行うものとします。活動前には各自がアドバイザーとして選定した教員より、3時間以上を基準にした事前オリエンテーションを受けることが必要です。活動時間に関しては、45時間以上の活動となることが前提です。研究テーマと関わりのない活動は申請不可です。フィールドワーク実施後は、レポートを提出してください。レポート課題については履修申告後にA館、τ館掲示板で告知しますので、履修申告をした学期は留意しておいてください。。
206,外交と戦略,インテリジェンス・コミュニティについて論じる。インテリジェンス・コミュニティは「情報機関」や「諜報機関」と訳されるが、こうした訳語は必ずしも正確ではない。それは外交・安全保障における政策決定・政策デザインの素材となる情報プロダクト（インテリジェンス）を政府首脳に提供する組織であり、いわゆる諜報（スパイ）活動はそのきわめて小さな一部に過ぎない。米国のインテリジェンス・コミュニティの活動は、2001年の対米同時多発テロ（9.11）、2003年のイラク戦争においても大きな問題となり、改革が迫られている。インテリジェンス・コミュニティの問題は日本外交とも無縁ではなく、今後いっそう重要性を増していくものである。
207,デザイン言語ワークショップ（電子工作）,シンプルな入出力システムを持つマイコンボードArduinoが誕生し、プロトタイピングブームは花開きました。この10年間でプロトタイピングブームは、リテラシーに変わりつつあります。電子回路を中心とした複合的な技術を使いこなすスキルが、メールを書いたりウェブサイトを見たりするスキルと同等に、常識的なスキルになりつつあるのです。こうした時代背景を踏まえて本講義では、様々なハンズオンワークショップによる実践を通じた、プロトタイピングリテラシーの獲得を主題とします。アナログ/デジタル回路の基礎理論の解説ではなく、電子回路を中心としたものづくりの基礎スキルの習得を目指します。
208,マクロ経済２,本講義では、マクロ経済学Iの既習者を対象として、マクロ経済学の応用編を取り扱う。
209,次世代ＷＥＢプラットフォーム論,現在のWebは計算機や携帯電話の利用法のひとつとして使われているにすぎないが、将来のWebは全世界の人間や機械がいつでもどこでも情報をやりとりするためのコミュニケーションのプラットフォームとなると考えられる。Webの進化に関連する技術動向を、豊富な具体例をまじえて解説する。
210,サブカルチャーと社会認識,立川談春の『赤めだか』を読み、落語と日本の文化について考察します。
211,プロジェクト,自分らしく生きるための意識やからだを見出す／つくりだすという，生活における実践知に関する研究が，認知科学，スキルサイエンス，社会科学，コーチング学，学習教育，メディアデザイン＆アートなど，様々な分野で共通の問題として求められている．そのためには，意識，なかでも半意識（ノンコンシャス：明確には未だ意識されていないが，意識的努力により顕在化できないこともない意識領域．完全に無意識ではない．）と身体とデジタル情報処理技術の関係性を研究対象にすることが鍵となる．これは，従来の自然科学的方法論（客観性，普遍性，再現性の絶対視）では扱い切れなかった領域である．自然科学的方法論の縛りから解放され，個から普遍を見出すケーススタディ的パラダイムを学問として成就させる意図に基づき，からだ，心，社会，デザインにまつわる異分野研究を持ち寄ることが必須になる．この考えを基底に据えた大学院教育としてのプロジェクトの模索・開発と，実践的な生活知に関する境界領域的研究の発信を目指す．
212,企業経営,この授業では企業の経営を広く、かつ深く理解し、評価・分析するための基礎的な視点と発想法を教えます。そのため今まで経営・経済系の科目をとったことのない方でもゼロから学べるよう豊富な事例をもとに理論と実務で必要な本質を紹介する教材を使用します。この授業の履修者の期待成果（獲得目標）は次の通りです。1 公開資料をもとに個別企業の実力を評価し、将来の発展の可能性をおおよそ予測することができるようになること2 ビジネス書や経済新聞・雑誌の記事を無理なく理解できること3 企業経営者の役割と彼らが直面する課題を理解した上で議論をかみあわせることができること4.「企業経営」の考え方を社会問題の解決やNPOの経営、公共経営、行政経営、個人のキャリア設計などに応用できること
213,プロジェクト,・　本プロジェクトはGRプログラムに所属する教員・学生全員の共同プロジェクトです。大別して、①全体ミーティング、②サブ・プロジェクト、③訪問研究（ピルグリム)、の三本の柱から構成されます。・　「全体ミーティング」は原則として履修生全員の参加の下に実施されます。履修生の各種研究発表（研究計画書、中間研究報告、最終研究報告、訪問研究発表）を中心に構成されます。加えてGRグループ全体の連絡事項の伝達等の場も兼ねています。・　「サブ・プロジェクト」は、「全体ミーティング」とは別に、研究の問題意識を共有する数名の学生によって構成、実施されます。各履修生は１つ以上のサブプロジェクトに参加し、その活動状況を期末に報告する必要があります。・ 「訪問研究（ピルグリム）」は、各履修生はが自分の主査の研究会とは異なる教員を訪問して指導を受けるものです。多様な視点から指導を受けるために「他流試合」の場と言えます。・　なお、GRサーティフィケートの取得を希望する学生は、必ず本プロジェクトに2期以上履修して最終発表をここで行わなければなりません。
214,デザイン戦略（コンピュータアニメーション）,1963年にアイバン・サザランドが開発したSketchpadはコンピュータと人間との対話方式を革新的に変えた、CG/CADシステム（以下、CG/CAD）の先駆けです。コンピュータの技術的発展と共にCG/CADは、現実世界の光や剛体、流体の物理シミュレーションを視覚化する媒体に留まらず、仮想世界のゲームやアート、映画において独自の表現を発明してきました。本講義「CGとCADの数理」では、このような高度な応用への深化を考慮しながら、2/3次元CG/CADの数理的な理解と汎用的なアルゴリズムによる実践を主題とします。
215,未来構想ワークショップ,もの・サービスがあふれる今日もの・サービスだけを提供する従来のビジネスモデルに代わり、例えばappleのSteve Jobsが創業時より追い求めた「人を幸せにする」ことを具現化するシステムとしてのビジネスモデルが要求されるようになった。また、IoTの驚くほどのスピードでの社会浸透に伴い、個益と公益がシームレスに繋がる社会システムの実現が可能となりつつある。日本の医療現場は、個と公のバランスの取れた強固な財政基盤の上に成立し、常に最新の技術を取り入れ、個益としての最良の治療環境を提供し、世界一の長寿国という公益を実現し世界から注目されている。医療現場では臨床医達が最良の治療環境という個益(Value)を提供しようと、日夜イノベーション思考をフル稼働させ未来への希望を提供し続けている。ただし、臨床医は常に目の前の患者が希望を託す未来とは何かを正確に理解しておく必要があり、それを突き詰めればSOL (Sanctity of Life　生命の尊厳)かQOL(Quality of Life 人生の質)かの選択に行き着く。本授業では、理想的な未来とは何かを全てのセッションを通じての基本テーマとして討論を続け、明確な未来像を各自が描ける様にし、それを基準に現在社会の抱える課題を探し出し、それを解決しながら理想の未来を作り上げる構想を組み立てて行く。このプロセスを通じ、問題解決に必要なスキルを身につける為に、生活・健康・医療に関連する複数の社会的プロジェクトを参考事例としながら、現実社会を自分の目で見据えた具体的な提案をしてもらう。
216,ドイツ語スキル,このコースは、Skillkurs 「ドイツ語圏海外研修準備コース」です。 ドイツ語の「海外研修」は、各自が自分でドイツ語圏の大学に申請書を出し、授業に参加する短期留学の形をとっています。したがって、自分の専門分野に近づけた大学選び、申請書の書き方や留学生課とのやりとりも各自がおこなっていきます。これらの準備段階がすでに「留学」の始まりだといえるでしょう。この授業では、この一連の活動を手続きを踏みながら進めていきます。また海外研修中に必要となる「フィールドワーク」活動の準備・計画も同時に進めていきます。 2018年2月〜3月の春季ドイツ語海外研修に参加したいと考えている人は必ず受講してください。なお、本授業の履修は、必ずしも来年の春の渡航に関連付けられる必要はありません。今後の計画の中で渡航予定がある場合は履修してください。
217,アナログ・デジタル電子回路基礎,コンピュータの基礎となるデジタル電子回路．コンピュータシステムと人とのインタラクションの基礎となるアナログ電子回路．ミクロな視点で見れば物理的な特性に何ら変わりのない両者ですが，マクロな視点で見ると，電気をエネルギーとして有効に利用するためのアナログ電子回路，電気を情報の伝達や処理の手段として用いるデジタル電子回路と，はっきりとした違いが見えてきます．本科目では，コンピュータアーキテクチャや電子工作を理解する上で必要不可欠である，アナログ電子回路とデジタル電子回路の基礎を体系的に修得することを目指します．---
218,学びのデザインワークショップ,学習は簡単ではない．教師は教えたい「こと」を外化し，生徒は外化された「もの」の解釈を通じて「こと」を生成する．両者の「こと」は一致はしない．一致しなくとも或るオーバーラップがあれば学習は成功であると考える．近年の学習理論は生徒の「こと」を醸成する学習の場のデザインに重点を置く．教師は教壇に立ってしゃべるのではなく，学習の場をデザインするコーディネータとしての性格を強く要請される．本講義では，場を如何にデザインすれば学習が成功するかを実践的に探究する．デザインで考慮すべきことは，生徒教師間インタラクション，生徒間の協調的インタラクション，場の形や距離，机や椅子などのハードウェア，身体による能動的行為など多岐にわたる．教室内で，もしくはキャンパスに出て実践的デザインを試み，試行錯誤と議論から場のデザインに関する方法論を学ぶ．
219,ミュージアムデザイン基礎,ミュージアムの未来像をデザインする：　「世界のミュージアム化」が進んでいる。膨大なモノや情報が世界中で生み出され、ミュージアムの専門領域であった「保存」は、いまや人間活動が直面する普遍的な課題になりつつある。時代を経て選別された歴史的資産だけでなく、モノと情報を現在的資産として継承する枠組みが必要とされている。収集されたモノと情報は、過去の記録として蓄積されるとともに、未来の創造の資源として使われる。膨大な博物資源を基盤として、新しい学術的知見を構築し、または新たな社会的営為を誘発することが期待される。すなわち、ミュージアムとは保存の拠点であると同時に、創造の源泉となるべきである。当授業では、ミュージアムの新たな社会的役割と存在形式をデザインするさまざまな思考実践を行う。博物学、アート、制度設計、空間デザイン、展示企画、情報表現などに幅広く関心をもち、新たな概念構築と価値創造に積極的に取り組むことを期待する。
220,アラビア語インテンシブ１,SFCのアラビア語履修の出発点で、週4コマの集中クラスです。アラビア語の基礎を集中的に学んでいきます。入門者用の簡単な会話スキットを題材に、文字、基本的な語彙・文法・会話表現を身につけます。学期後半では動詞を使った表現も学びます。
221,エビデンスに基づく健康政策とコミュニケーション,少子高齢社会において、健康の実現は重要な社会的課題である。その課題に立ち向かうためには、一人ひとりが科学的なものの見方を身につけ、健康や医療に関する情報を適切に利用し、より良い意思決定や問題解決に役立てていける力をつけることが求められる。あふれる情報に振り回されず、主体的に情報を読み解き意思決定を行っていくことは、全ての市民が自らの生命を守る上で重要である。本コースは、健康情報を読み解くリテラシー、ヘルスデータを扱う基礎的な疫学の知識、エビデンスに基づく健康政策やそれを支えるヘルスコミュニケーションについて学ぶ。疫学とは「人間集団における健康状態とそれに関連する要因の分布を明らかにする学問」であり、疾病の予防や治療の改善を通した寿命の延長、ＱＯＬ（Quality of life）の向上を目標としているコースでは、まず疫学的な手法を中心とする量的データの見方や分析方法について基本的な知識をスキルを習得した上で、具体的な事例を通して理解を深める。本コースは入門レベルであるが、受講後は、卒業研究等に必要な研究デザインのスキルがある程度身についていることを目標とする。
